day,demand,shipped,lost_sales,on_hand_end,on_order_end,holding_cost,stockout_cost,expedite_qty,expedite_cost
1,40,40,0,160,0,3.2,0.0,0,0.0
2,44,44,0,116,200,2.32,0.0,0,0.0
3,29,29,0,87,200,1.74,0.0,0,0.0
4,35,35,0,52,200,1.04,0.0,0,0.0
5,28,28,0,24,200,0.48,0.0,0,0.0
6,41,24,17,0,400,0.0,51.0,200,250.0
7,56,56,0,144,200,2.88,0.0,0,0.0
8,34,34,0,310,0,6.2,0.0,0,0.0
9,33,33,0,277,0,5.54,0.0,0,0.0
10,46,46,0,231,0,4.62,0.0,0,0.0
11,44,44,0,187,0,3.74,0.0,0,0.0
12,41,41,0,146,0,2.92,0.0,0,0.0
13,29,29,0,117,200,2.34,0.0,0,0.0
14,48,48,0,69,200,1.3800000000000001,0.0,0,0.0
15,24,24,0,45,200,0.9,0.0,0,0.0
16,35,35,0,10,200,0.2,0.0,0,0.0
17,17,10,7,0,400,0.0,21.0,200,250.0
18,25,25,0,175,200,3.5,0.0,0,0.0
19,18,18,0,157,200,3.14,0.0,0,0.0
20,37,37,0,320,0,6.4,0.0,0,0.0
21,25,25,0,295,0,5.9,0.0,0,0.0
22,43,43,0,252,0,5.04,0.0,0,0.0
23,42,42,0,210,0,4.2,0.0,0,0.0
24,38,38,0,172,0,3.44,0.0,0,0.0
25,10,10,0,162,0,3.24,0.0,0,0.0
26,34,34,0,128,0,2.56,0.0,0,0.0
27,39,39,0,89,200,1.78,0.0,0,0.0
28,22,22,0,67,200,1.34,0.0,0,0.0
29,34,34,0,33,200,0.66,0.0,0,0.0
30,28,28,0,5,200,0.1,0.0,0,0.0
31,30,5,25,0,400,0.0,75.0,200,250.0
32,53,53,0,147,200,2.94,0.0,0,0.0
33,30,30,0,117,200,2.34,0.0,0,0.0
34,40,40,0,277,0,5.54,0.0,0,0.0
35,51,51,0,226,0,4.5200000000000005,0.0,0,0.0
36,33,33,0,193,0,3.86,0.0,0,0.0
37,39,39,0,154,0,3.08,0.0,0,0.0
38,41,41,0,113,200,2.2600000000000002,0.0,0,0.0
