day,demand,shipped,lost_sales,on_hand_end,on_order_end,holding_cost,stockout_cost,expedite_qty,expedite_cost
1,40,40,0,160,350,3.2,0.0,0,0.0
2,37,37,0,123,350,2.46,0.0,0,0.0
3,29,29,0,94,350,1.8800000000000001,0.0,0,0.0
4,35,35,0,59,350,1.18,0.0,0,0.0
5,28,28,0,31,350,0.62,0.0,0,0.0
6,41,31,10,0,700,0.0,30.0,350,250.0
7,56,56,0,294,350,5.88,0.0,0,0.0
8,34,34,0,260,350,5.2,0.0,0,0.0
9,33,33,0,577,0,11.540000000000001,0.0,0,0.0
10,46,46,0,531,0,10.620000000000001,0.0,0,0.0
11,44,44,0,487,0,9.74,0.0,0,0.0
12,41,41,0,446,0,8.92,0.0,0,0.0
13,29,29,0,417,0,8.34,0.0,0,0.0
14,40,40,0,377,0,7.54,0.0,0,0.0
15,48,48,0,329,0,6.58,0.0,0,0.0
16,24,24,0,305,0,6.1000000000000005,0.0,0,0.0
17,35,35,0,270,0,5.4,0.0,0,0.0
18,17,17,0,253,0,5.0600000000000005,0.0,0,0.0
19,25,25,0,228,350,4.5600000000000005,0.0,0,0.0
20,37,37,0,191,350,3.8200000000000003,0.0,0,0.0
21,25,25,0,166,350,3.3200000000000003,0.0,0,0.0
22,43,43,0,473,0,9.46,0.0,0,0.0
23,42,42,0,431,0,8.620000000000001,0.0,0,0.0
24,38,38,0,393,0,7.86,0.0,0,0.0
25,10,10,0,383,0,7.66,0.0,0,0.0
26,34,34,0,349,0,6.98,0.0,0,0.0
27,39,39,0,310,0,6.2,0.0,0,0.0
28,41,41,0,269,0,5.38,0.0,0,0.0
29,22,22,0,247,0,4.94,0.0,0,0.0
30,34,34,0,213,350,4.26,0.0,0,0.0
31,30,30,0,183,350,3.66,0.0,0,0.0
32,53,53,0,130,350,2.6,0.0,0,0.0
33,30,30,0,100,350,2.0,0.0,0,0.0
34,40,40,0,60,350,1.2,0.0,0,0.0
35,51,51,0,359,0,7.18,0.0,0,0.0
