rop,q,service_level,stockout_days,avg_on_hand,max_on_hand,holding_cost,stockout_cost,expedite_cost,total_cost,meets_target
80,100,0.874766355140187,43,39.9,160,143.64,2613.0,8750.0,11506.64,False
80,150,0.9165704387990762,25,76.23333333333333,230,274.44,1734.0,5750.0,7758.4400000000005,False
80,200,0.9417348130841121,19,114.82222222222222,324,413.36,1197.0,4250.0,5860.360000000001,False
80,250,0.9659353348729792,13,162.32777777777778,441,584.3800000000001,708.0,3250.0,4542.38,False
80,300,0.9704505558806319,11,207.65,552,747.54,606.0,2750.0,4103.54,True
80,350,0.972197962154294,10,249.90555555555557,610,899.66,573.0,2250.0,3722.66,True
80,400,0.9731143729109141,9,295.27777777777777,710,1063.0000000000002,555.0,2000.0,3618.0,True
100,100,0.8986221899927483,40,44.99444444444445,160,161.98000000000002,2097.0,9250.0,11508.98,False
100,150,0.9213759213759214,26,75.20555555555555,241,270.74,1632.0,5500.0,7402.74,False
100,200,0.9613211647109953,18,114.2611111111111,310,411.34,801.0,4000.0,5212.34,False
100,250,0.9550043265070667,12,169.23888888888888,426,609.26,936.0,3000.0,4545.26,False
100,300,0.9753013819464863,11,208.17777777777778,552,749.44,504.0,2750.0,4003.44,True
100,350,0.9731895672446452,10,261.02222222222224,627,939.6800000000001,552.0,2250.0,3741.6800000000003,True
100,400,0.9674582233948988,9,305.4,738,1099.44,666.0,2250.0,4015.44,False
120,100,0.9048717209570482,35,53.65,200,193.14,1980.0,7000.0,9173.14,False
120,150,0.9409368635437881,25,79.65,234,286.74,1218.0,5500.0,7004.74,False
120,200,0.9613364458710242,17,123.22777777777777,322,443.62,795.0,4000.0,5238.62,False
120,250,0.961293128443027,13,172.26111111111112,442,620.14,801.0,3000.0,4421.139999999999,False
120,300,0.9749708963911525,12,223.49444444444444,538,804.5799999999999,516.0,2750.0,4070.58,True
120,350,0.9743253099927061,10,266.9888888888889,627,961.1600000000001,528.0,2250.0,3739.16,True
120,400,0.9753823743627094,8,310.9888888888889,742,1119.5600000000002,507.0,2000.0,3626.5600000000004,True
140,100,0.8918335013682847,32,60.37222222222222,240,217.34,2253.0,5500.0,7970.34,False
140,150,0.9334592474211826,24,81.95555555555555,241,295.04,1374.0,5250.0,6919.04,False
140,200,0.9524497759791878,16,129.83333333333334,324,467.4,987.0,3750.0,5204.4,False
140,250,0.9575757575757575,14,173.18333333333334,447,623.46,882.0,2750.0,4255.46,False
140,300,0.9708029197080292,10,219.42222222222222,532,789.92,600.0,2500.0,3889.92,True
140,350,0.9731895672446452,10,280.99444444444447,647,1011.5800000000002,552.0,2250.0,3813.58,True
140,400,0.9771901787011478,8,316.68333333333334,733,1140.06,471.0,2000.0,3611.06,True
160,100,0.9296424452133795,28,64.6,240,232.56,1464.0,5500.0,7196.5599999999995,False
160,150,0.9348482669351359,21,97.22222222222223,383,350.0,1359.0,4500.0,6209.0,False
160,200,0.9377732439522005,19,119.41666666666667,341,429.90000000000003,1281.0,3500.0,5210.9,False
160,250,0.955046403712297,15,164.58333333333334,438,592.4999999999999,930.0,2500.0,4022.5,False
160,300,0.9581273626054085,12,205.4388888888889,519,739.5799999999999,864.0,2250.0,3853.58,False
160,350,0.9608189718662542,11,252.63333333333333,629,909.48,798.0,2250.0,3957.48,False
160,400,0.9799038881607689,8,306.7611111111111,731,1104.3400000000001,414.0,1750.0,3268.34,True
180,100,0.909734257654535,27,57.333333333333336,212,206.39999999999998,1875.0,3750.0,5831.4,False
180,150,0.9519341801385681,18,108.8,352,391.67999999999995,999.0,3500.0,4890.68,False
180,200,0.9575383732606513,17,126.95555555555555,329,457.04,888.0,3000.0,4345.04,False
180,250,0.9534951315215812,16,144.9,423,521.64,960.0,2000.0,3481.64,False
180,300,0.9735426660851868,11,218.98888888888888,530,788.36,546.0,2250.0,3584.36,True
180,350,0.9881993006993007,9,249.0611111111111,627,896.6200000000001,243.0,1750.0,2889.62,True
